Log_NR;STANDORT;STANDORT_NEU;Code_grafana;NORD_CHTOPO;OST_CHTOPO;LV_03_N;LV_03_E;HuM;Art;ZUSTAENDIG;BEFESTIGUNG;Doppel_Messnetz_23;Start;Ende
51;Bumpliz Stockacker;Bumpliz Stockacker;db1aaeaf755a;46.94302;7.39587;2596744.4;1199104.6;556.6;Hauptnetz;ewb;Laterne;ja;12.05.2023;
52;Umland Bumpliz;Umland Bumpliz;nocht nicht installiert;46.93354;7.36641;2594500.2;1198052.9;573.8;Hauptnetz;ewb;Stromleitungsmasten EWB40;ja;08.05.2023;
53;Breitenrain, Waffenweg;Waffenweg;459a084688df;46.96173;7.45192;2601011.1;1201183.8;554.9;Hauptnetz;TAB;Verkehrsschild 2m85;nein;08.05.2023;
55;Bollwerk (Strasseninsel);Bollwerk;36c36d0cf6fd;46.95151;7.44082;2600166.32;1200047.33;534.5;Hauptnetz;TAB;Ampel;nein;08.05.2023;
57;Eigerplatz;Eigerplatz;ac6956757b85;46.94067;7.43141;2599450.3;1198842.4;526.1;Hauptnetz;BERNMOBIL;Masten;ja;10.05.2023;
58;Murifeld;Murifeld;e96f9159cdca;46.93919;7.47992;2603143.9;1198678.2;553;Hauptnetz;ewb;Lampe;ja;10.05.2023;
59;Schlossmatte Familiengarten;Schlossmatte Familiengarten;0e93f9aa1539;46.94211;7.41688;2598344.1;1199002.6;548.4;Hauptnetz;Stadtgrun;Fahnenmasten;ja;12.05.2023;
61;Westside Center;Westside Center;1b0dc4db66c0;46.94555;7.37478;2595139;1199387.4;554.2;Hauptnetz;ewb;Parklaterne;nein;12.05.2023;
62;Felsenhaldenweg;Felsenhaldenweg;6cf62e6cfad9;46.97417;7.44122;2600197.2;1202567;492.5;Hauptnetz;ewb;Strassenlampe;nein;09.05.2023;
65;Umland Bolligen;Ostermundigen Rorswil;4eb78fa39636;46.96681;7.50376;2604956.8;1201749.9;557.1;Hauptnetz;BKW;Stromleitungsmasten BKW FMB94;nein;11.05.2023;
68;Gleisfeld Welle;Gleisfeld Welle;noch nicht installiert;46.94838;7.43359;2599616.4;1199700.1;540.1;Hauptnetz;SBB;Lichtmasten;nein;;
69;Eisenbahnquartier;Eisenbahnquartier;15c44cc1729a;46.93716;7.42317;2598822.7;1198452.8;561.1;Hauptnetz;ewb;Strassenlampe;nein;09.05.2023;
70;Bundesplatz;Bundesplatz;44dd6ed61b66;46.94692;7.44353;2600373.1;1199537.1;542.6;Hauptnetz;TAB;Verkehrsschild;nein;12.05.2023;
71;Hirschengraben;Hirschengraben;83b8067d27a2;46.94658;7.43786;2599941.2;1199499.8;540.3;Hauptnetz;ewb;Laternenpfosten;ja;12.05.2023;
73;Obstberg, Wattenwylweg 32;Obstberg;64520be86594;46.94714;7.46407;2601936.8;1199561.8;561.8;Hauptnetz;ewb;Strassenlampe;nein;10.05.2023;
76;Wabern, Viktoriastrasse 9;Wabern Viktoriastrasse;cbb89f9d130c;46.93122;7.45326;2601114;1197791.9;533.6;Hauptnetz;Gemeinde Koniz;Strassenlampe (Gmd Koniz 119);ja;24.05.2023;
78;Dalmazibrucke;Dalmazibrucke;e3594371a27b;46.94445;7.44571;2600538.5;1199262.1;500.9;Hauptnetz;ewb;Strassenlampe;nein;24.05.2023;
79;Umland Belp;Umland Belp;e1ccbf0d3c96;46.89942;7.51184;2605578;1194258.9;513.1;Hauptnetz;Energie Belp;Stromleitungsmasten EVB52;nein;09.05.2023;
80;Elfenau Kreuzung Hofmeister- Matterstrasse (Wegli);Elfenau;db9e92f34b5f;46.93558;7.4695;2602350.8;1198276.9;544.8;Hauptnetz;ewb;Strassenlampe;nein;10.05.2023;
82;Thunplatz;Thunplatz;7c98b95fbc73;46.94059;7.45824;2601493.1;1198834.2;551.8;Hauptnetz;BERNMOBIL;Tramampel;nein;10.05.2023;
83;Stadtlabor;Stadtlabor;d6e2769def35;46.96311;7.46257;2601821.5;1201337.7;554.5;Hauptnetz;AFU;Holzpflock;ja;08.05.2023;
